task_id	hash	native_id	name	status	exit	submit	duration	realtime	%cpu	peak_rss	peak_vmem	rchar	wchar
129	6e/c29def	-	NFCORE_FETCHNGS:SRA:SRA_TO_SAMPLESHEET (SRX13821392_SRR17653168)	COMPLETED	-	2025-06-04 17:23:55.557	106ms	2ms	-	-	-	-	-
131	a6/f8dd30	-	NFCORE_FETCHNGS:SRA:SRA_TO_SAMPLESHEET (SRX17527367_SRR21524979)	COMPLETED	-	2025-06-04 17:23:55.560	107ms	2ms	-	-	-	-	-
134	5f/b28561	-	NFCORE_FETCHNGS:SRA:SRA_TO_SAMPLESHEET (SRX13440143_SRR17261992)	COMPLETED	-	2025-06-04 17:23:55.559	105ms	1ms	-	-	-	-	-
137	6c/7e7401	-	NFCORE_FETCHNGS:SRA:SRA_TO_SAMPLESHEET (SRX13440223_SRR17262072)	COMPLETED	-	2025-06-04 17:23:55.566	109ms	1ms	-	-	-	-	-
136	74/a42212	-	NFCORE_FETCHNGS:SRA:SRA_TO_SAMPLESHEET (SRX27181532_SRR31821236)	COMPLETED	-	2025-06-04 17:23:55.564	108ms	2ms	-	-	-	-	-
138	ff/3df2bb	-	NFCORE_FETCHNGS:SRA:SRA_TO_SAMPLESHEET (ERX13777354_ERR14376447)	COMPLETED	-	2025-06-04 17:23:55.563	107ms	1ms	-	-	-	-	-
139	70/8731ea	-	NFCORE_FETCHNGS:SRA:SRA_TO_SAMPLESHEET (SRX18766827_SRR22807071)	COMPLETED	-	2025-06-04 17:23:55.562	106ms	1ms	-	-	-	-	-
143	97/cfd10f	-	NFCORE_FETCHNGS:SRA:SRA_TO_SAMPLESHEET (SRX16990730_SRR20973040)	COMPLETED	-	2025-06-04 17:23:55.573	107ms	0ms	-	-	-	-	-
142	75/c0267e	-	NFCORE_FETCHNGS:SRA:SRA_TO_SAMPLESHEET (SRX27887901_SRR32579588)	COMPLETED	-	2025-06-04 17:23:55.573	106ms	0ms	-	-	-	-	-
135	ca/606a7e	-	NFCORE_FETCHNGS:SRA:SRA_TO_SAMPLESHEET (ERX5701202_ERR6062334)	COMPLETED	-	2025-06-04 17:23:55.565	108ms	1ms	-	-	-	-	-
141	7e/469406	-	NFCORE_FETCHNGS:SRA:SRA_TO_SAMPLESHEET (SRX27284000_SRR31926596)	COMPLETED	-	2025-06-04 17:23:55.568	110ms	1ms	-	-	-	-	-
119	b9/05db66	2526751	NFCORE_FETCHNGS:SRA:FASTQ_DOWNLOAD_PREFETCH_FASTERQDUMP_SRATOOLS:SRATOOLS_FASTERQDUMP (SRX12412076_SRR16126677)	CACHED	0	2025-06-04 17:15:03.602	2s	1s	221.2%	8.7 MB	474.9 MB	60.8 MB	60.4 MB
103	f4/f0eced	2480570	NFCORE_FETCHNGS:SRA:FASTQ_DOWNLOAD_PREFETCH_FASTERQDUMP_SRATOOLS:SRATOOLS_FASTERQDUMP (SRX17245625_SRR21236084)	CACHED	0	2025-06-04 17:02:38.683	10.2s	9s	444.6%	81.5 MB	923.5 MB	2.2 GB	2.2 GB
140	da/277266	-	NFCORE_FETCHNGS:SRA:SRA_TO_SAMPLESHEET (SRX18766849_SRR22807049)	COMPLETED	-	2025-06-04 17:23:55.567	110ms	2ms	-	-	-	-	-
